850-45m,
X,Y
0.0114 , 198.4119
0.0087 , 188.6214
0.0055 , 179.0744
0.0259 , 210.0101
0.0374 , 218.9755
0.0505 , 227.5399
0.0665 , 235.0089
0.0856 , 242.9849
0.1046 , 248.8208
0.1240 , 254.4283
0.1432 , 259.0274
0.1624 , 263.1558
0.1816 , 266.6685
0.2008 , 269.7466
0.2200 , 272.5350
0.2392 , 275.1786
0.2584 , 277.6411
0.2777 , 279.8139
0.2969 , 281.8419
0.3161 , 283.7250
0.3353 , 285.2459
0.3545 , 286.8755
0.3737 , 288.3965
0.3929 , 289.9899
0.4121 , 291.5833
0.4313 , 293.1042
0.4504 , 294.3593
0.4700 , 295.4148
0.4890 , 296.5662
0.5082 , 297.2688
0.5274 , 298.4276
0.5466 , 299.5140
0.5658 , 300.6728
0.5850 , 301.5419
0.6042 , 302.6645
0.6234 , 303.4250
0.6426 , 304.4752
0.6618 , 304.9822
0.6811 , 306.1048
0.7003 , 307.0826
0.7195 , 307.9879
0.7387 , 308.8570
0.7579 , 309.8348
0.7771 , 310.7763
0.7963 , 311.9714
0.8155 , 313.0578
0.8347 , 314.1804
0.8539 , 315.5927
0.8732 , 317.0050
0.8924 , 318.6346
0.9116 , 320.5177
0.9308 , 322.6905
0.9500 , 324.5012
0.9692 , 327.5455
0.9884 , 329.7884
