850-50m,
X,Y
0.0035 , 135.0039
0.0185 , 164.5110
0.0090 , 148.5819
0.0140 , 155.6383
0.0262 , 168.7593
0.0419 , 175.8091
0.0611 , 181.3860
0.0803 , 184.8625
0.0998 , 187.9376
0.1187 , 190.1858
0.1379 , 191.9965
0.1572 , 193.9520
0.1764 , 194.9298
0.1956 , 196.4507
0.2141 , 197.1583
0.2340 , 198.6960
0.2532 , 199.7099
0.2724 , 200.3980
0.2916 , 201.0136
0.3108 , 201.0136
0.3300 , 201.9914
0.3494 , 202.1785
0.3688 , 202.7760
0.3877 , 203.4399
0.4073 , 203.6059
0.4261 , 204.0556
0.4453 , 204.9971
0.4645 , 205.3230
0.4852 , 205.4909
0.5022 , 205.6245
0.5221 , 205.7214
0.5414 , 205.9749
0.5606 , 206.5181
0.5798 , 206.8440
0.5990 , 207.2785
0.6182 , 207.6407
0.6374 , 208.0752
0.6566 , 208.3287
0.6758 , 208.6547
0.6950 , 208.9806
0.7142 , 209.5962
0.7335 , 209.8135
0.7527 , 210.3205
0.7719 , 210.7550
0.7911 , 211.2620
0.8103 , 211.7690
0.8295 , 212.4933
0.8487 , 213.2537
0.8679 , 213.9780
0.8871 , 215.0861
0.9063 , 217.0199
0.9255 , 218.5771
0.9448 , 219.9170
0.9640 , 221.0034
0.9832 , 222.0536
