800-1h30m,
X,Y
0.9934 , 268.9830
0.9755 , 267.7158
0.9594 , 266.0229
0.9443 , 264.7545
0.9302 , 263.4858
0.9132 , 262.2182
0.8991 , 261.3743
0.8792 , 260.1080
0.8604 , 258.4163
0.8396 , 258.0002
0.8198 , 257.1587
0.7991 , 256.3177
0.7802 , 255.4758
0.7594 , 255.4847
0.7292 , 254.6476
0.6991 , 253.8106
0.6745 , 252.9712
0.6500 , 252.5567
0.6245 , 252.1426
0.5991 , 251.3035
0.5745 , 250.8890
0.5500 , 250.8994
0.5292 , 250.0584
0.5094 , 249.6419
0.4896 , 249.2254
0.4698 , 248.3839
0.4509 , 247.9670
0.4292 , 247.9762
0.4094 , 247.5597
0.3887 , 246.7187
0.3698 , 245.4519
0.3509 , 245.4599
0.3349 , 244.6169
0.3217 , 244.6225
0.3000 , 243.7819
0.2811 , 242.5151
0.2613 , 241.2487
0.2415 , 240.4073
0.2245 , 239.1397
0.2113 , 238.2955
0.2009 , 237.4500
0.1906 , 236.6046
0.1792 , 235.7595
0.1708 , 234.4883
0.1594 , 233.6433
0.1519 , 232.3717
0.1406 , 231.1017
0.1321 , 230.2555
0.1208 , 228.1357
0.1094 , 226.4408
0.0991 , 224.3205
0.0896 , 221.7749
0.0792 , 219.6547
0.0689 , 216.6846
0.0585 , 214.1395
0.0500 , 209.8938
0.0425 , 206.9225
0.0311 , 200.9783
0.0189 , 192.9098
0.0104 , 182.2902
0.0075 , 178.4670
