ACK3,
X,Y
0.0018 , 137.5695
0.0066 , 146.8504
0.0146 , 152.5245
0.0259 , 155.0094
0.0397 , 156.8776
0.0548 , 158.2063
0.0669 , 158.8685
0.0803 , 159.7845
0.0946 , 160.5220
0.1086 , 161.3724
0.1211 , 161.7368
0.1337 , 162.2835
0.1455 , 162.7998
0.1579 , 163.2553
0.1766 , 164.0836
0.1899 , 164.3597
0.1977 , 164.4702
0.2188 , 165.0776
0.2331 , 165.3813
0.2454 , 165.6573
0.2532 , 165.6850
0.2743 , 166.7065
0.2858 , 167.6211
0.3008 , 167.2863
0.3093 , 167.0010
0.3298 , 167.5072
0.3370 , 167.5072
0.3570 , 168.1146
0.3708 , 168.5839
0.3841 , 169.0257
0.3977 , 169.6765
0.4126 , 170.5442
0.4239 , 170.9583
0.4407 , 171.7590
0.4540 , 172.3664
0.4679 , 172.9738
0.4817 , 173.5812
0.4986 , 174.4371
0.5089 , 174.7454
0.5222 , 175.4034
0.5364 , 176.1121
0.5517 , 176.8667
0.5628 , 177.3471
0.5761 , 177.9545
0.5893 , 178.5619
0.6048 , 179.3895
0.6177 , 179.8375
0.6306 , 180.5056
0.6424 , 180.9915
0.6568 , 181.6799
0.6704 , 182.4493
0.6844 , 182.9131
0.6955 , 183.4211
0.7089 , 184.0083
0.7220 , 184.6359
0.7354 , 185.2231
0.7507 , 186.0709
0.7640 , 186.5576
0.7774 , 187.3490
0.7953 , 188.4626
0.8134 , 189.7602
0.8260 , 190.2511
0.8436 , 191.4996
0.8617 , 192.8801
0.8725 , 193.3724
0.8873 , 194.4932
0.9039 , 195.7514
0.9210 , 197.3611
0.9333 , 198.0123
0.9509 , 199.3959
0.9657 , 202.0229
0.9774 , 205.2562
0.9871 , 212.4550
0.9949 , 219.6426
0.9997 , 223.6920
