ACZ3,
X,Y
0.0127 , 93.5144
0.0260 , 96.1373
0.0393 , 98.2310
0.0522 , 100.0246
0.0660 , 100.9661
0.0778 , 101.3902
0.0923 , 102.5150
0.1080 , 103.1224
0.1217 , 103.5020
0.1339 , 103.7298
0.1514 , 104.3372
0.1656 , 104.3372
0.1766 , 104.5523
0.1912 , 105.5796
0.2045 , 106.6564
0.2176 , 107.4957
0.2310 , 107.8988
0.2467 , 107.3742
0.2603 , 107.7213
0.2732 , 107.6227
0.2882 , 108.4155
0.2998 , 108.5890
0.3134 , 108.9361
0.3263 , 109.1964
0.3378 , 109.1964
0.3552 , 109.8038
0.3685 , 109.6382
0.3818 , 109.7210
0.3951 , 110.4112
0.4083 , 110.4112
0.4288 , 111.0186
0.4421 , 111.0186
0.4554 , 110.8530
0.4686 , 111.2579
0.4819 , 111.6260
0.4930 , 111.7475
0.5084 , 112.2334
0.5217 , 112.2334
0.5367 , 112.7541
0.5482 , 112.8408
0.5585 , 112.8408
0.5748 , 113.4483
0.5880 , 113.3102
0.6013 , 113.8072
0.6132 , 114.1316
0.6278 , 114.6631
0.6412 , 115.0005
0.6534 , 115.3380
0.6676 , 115.8779
0.6809 , 115.7398
0.6946 , 116.7777
0.7073 , 117.3626
0.7203 , 117.9025
0.7337 , 118.4897
0.7468 , 119.1174
0.7604 , 119.7653
0.7739 , 120.2512
0.7870 , 120.9028
0.8012 , 121.8844
0.8141 , 122.4986
0.8276 , 123.2275
0.8411 , 123.9563
0.8540 , 124.7190
0.8678 , 125.8724
0.8811 , 127.0596
0.8944 , 128.4033
0.9076 , 130.4003
0.9209 , 132.1673
0.9342 , 134.3208
0.9474 , 136.8885
0.9607 , 140.7170
0.9733 , 145.8350
0.9824 , 153.6584
0.9878 , 160.5980
0.9920 , 167.7096
0.9950 , 174.3405
0.9960 , 184.3750
