SAC600_3_1,
X,Y
0.0319 , 352.9899
0.0484 , 378.7306
0.0654 , 396.8983
0.0821 , 410.5657
0.0988 , 424.8615
0.1156 , 434.9157
0.1323 , 447.0121
0.1490 , 459.3683
0.1658 , 467.4346
0.1825 , 476.6248
0.1992 , 484.0868
0.2160 , 491.2085
0.2327 , 498.3821
0.2494 , 505.0663
0.2662 , 510.9503
0.2829 , 517.0298
0.2996 , 522.5755
0.3164 , 529.4877
0.3331 , 533.3129
0.3498 , 538.7564
0.3666 , 544.2918
0.3833 , 549.2818
0.4000 , 554.8439
0.4168 , 558.7862
0.4335 , 565.3621
0.4502 , 569.8615
0.4670 , 575.5674
0.4837 , 581.1724
0.5004 , 585.4926
0.5171 , 590.2055
0.5339 , 598.2174
0.5506 , 602.3019
0.5673 , 607.8212
0.5841 , 615.1052
0.6008 , 618.6399
0.6175 , 624.2954
0.6343 , 631.8360
0.6510 , 638.7482
0.6677 , 645.8176
0.6845 , 651.4731
0.7012 , 658.6209
0.7179 , 665.0619
0.7347 , 672.9953
0.7514 , 682.1069
0.7681 , 694.8317
0.7849 , 704.9644
0.8016 , 720.8704
0.8183 , 734.3938
0.8351 , 756.8769
0.8517 , 770.6464
0.9084 , 867.2573
0.9245 , 915.5888
0.9564 , 1019.2781
0.9991 , 1241.9254
1.0000 , 1335.7271
0.9469 , 966.8508
0.9735 , 1077.0718
0.9912 , 1185.3591
0.9783 , 1133.1492
1.0008 , 1303.3149
1.0000 , 1363.2597
0.8809 , 816.0221
0.0201 , 338.3978
0.0105 , 303.5912
0.0048 , 266.8508
