SAC600_3_1,
X,Y
0.0654 , 396.8983
0.4502 , 569.8615
0.4877 , 584.0730
0.5216 , 592.1392
0.5583 , 605.2024
0.5913 , 617.0389
0.6236 , 628.1628
0.6594 , 642.6157
0.6909 , 655.3405
0.7248 , 668.9293
0.7546 , 685.9743
0.7877 , 707.8649
0.8183 , 734.3938
0.8501 , 769.6796
0.9060 , 864.3567
0.9245 , 915.5888
0.9564 , 1019.2781
1.0003 , 1243.8591
0.9469 , 966.8508
0.9730 , 1075.1381
0.9912 , 1185.3591
0.9783 , 1133.1492
1.0000 , 1303.3149
1.0008 , 1364.2265
0.8809 , 816.0221
0.4183 , 560.7735
0.3829 , 553.0387
0.3484 , 541.4365
0.3073 , 529.8343
0.2928 , 524.0331
0.2784 , 518.2320
0.2631 , 514.3646
0.2478 , 508.5635
0.2333 , 502.7624
0.2188 , 496.9613
0.2060 , 491.1602
0.1915 , 483.4254
0.1786 , 477.6243
0.1665 , 471.8232
0.1545 , 464.0884
0.1432 , 456.3536
0.1311 , 448.6188
0.1223 , 444.7514
0.1102 , 437.0166
0.1006 , 431.2155
0.0917 , 423.4807
0.0821 , 417.6796
0.0748 , 408.0110
0.0579 , 390.6077
0.0499 , 382.8729
0.0442 , 375.1381
0.0378 , 367.4033
0.0306 , 359.6685
0.0249 , 348.0663
0.0209 , 338.3978
0.0153 , 326.7956
0.0121 , 313.2597
0.0097 , 299.7238
