SBP10,
X,Y
1.0000 , 930.1105
1.0000 , 891.4365
0.9968 , 864.3646
0.9751 , 846.9613
0.9364 , 833.4254
0.9002 , 816.0221
0.8624 , 796.6851
0.8294 , 779.2818
0.7965 , 761.8785
0.7619 , 746.4088
0.7281 , 730.9392
0.6951 , 719.3370
0.6597 , 705.8011
0.6275 , 692.2652
0.5921 , 682.5967
0.5591 , 672.9282
0.5270 , 661.3260
0.4932 , 653.5912
0.4594 , 643.9227
0.4232 , 630.3867
0.3870 , 620.7182
0.3532 , 609.1160
0.3146 , 595.5801
0.3017 , 591.7127
0.2872 , 587.8453
0.2751 , 580.1105
0.2623 , 576.2431
0.2486 , 568.5083
0.2373 , 562.7072
0.2245 , 554.9724
0.2132 , 551.1050
0.2019 , 545.3039
0.1915 , 537.5691
0.1794 , 529.8343
0.1681 , 524.0331
0.1585 , 518.2320
0.1480 , 508.5635
0.1384 , 502.7624
0.1287 , 495.0276
0.1207 , 489.2265
0.1110 , 483.4254
0.1014 , 473.7569
0.0925 , 464.0884
0.0845 , 458.2873
0.0772 , 448.6188
0.0708 , 442.8177
0.0636 , 433.1492
0.0563 , 423.4807
0.0483 , 415.7459
0.0426 , 406.0773
0.0370 , 398.3425
0.0314 , 388.6740
0.0265 , 379.0055
0.0201 , 367.4033
0.0169 , 359.6685
0.0129 , 350.0000
0.0097 , 338.3978
0.0064 , 326.7956
0.0048 , 313.2597
0.0032 , 293.9227
0.0024 , 280.3867
0.0016 , 264.9171
0.0008 , 249.4475
0.0008 , 233.9779
0.0008 , 216.5746
0.0004 , 201.1050
0.0004 , 186.6022
0.0000 , 172.0994
0.0000 , 156.6298
0.0000 , 145.0276
0.0000 , 127.6243
0.0000 , 108.2873
0.0000 , 88.9503
0.0000 , 71.5470
0.0000 , 58.0110
0.0000 , 38.6740
0.0000 , 23.2044
0.0000 , 7.7348
