CMS500,
X,Y
0.5094 , 676.9765
0.7791 , 712.2084
0.9292 , 731.3511
0.9863 , 765.0050
0.0117 , 380.0905
0.0183 , 392.7602
0.0300 , 414.4796
0.0383 , 427.1493
0.0483 , 441.6290
0.0567 , 456.1086
0.0667 , 466.9683
0.0767 , 479.6380
0.0883 , 490.4977
0.0967 , 495.9276
0.1300 , 526.6968
0.1567 , 550.2262
0.1883 , 570.1357
0.2083 , 582.8054
0.2183 , 584.6154
0.2500 , 600.9050
0.2783 , 615.3846
0.3000 , 622.6244
0.3300 , 635.2941
0.3900 , 653.3937
0.4200 , 660.6335
0.4767 , 669.6833
0.5700 , 684.1629
0.5983 , 689.5928
0.6900 , 700.4525
0.6583 , 696.8326
0.7500 , 709.5023
0.8417 , 716.7421
0.8700 , 722.1719
0.9567 , 743.8914
