CMS650,
X,Y
0.1300 , 186.4253
0.2517 , 193.6652
0.3300 , 195.4751
0.3917 , 197.2851
0.4200 , 197.2851
0.4800 , 199.0950
0.5700 , 204.5249
0.6000 , 204.5249
0.6883 , 206.3348
0.7500 , 208.1448
0.7783 , 209.9548
0.8417 , 213.5747
0.8700 , 213.5747
0.9300 , 219.0045
0.9606 , 222.9185
0.6599 , 203.9561
0.5105 , 199.7423
0.2990 , 193.4215
0.2796 , 193.4215
0.2195 , 189.2076
0.2079 , 189.2076
0.0885 , 180.7799
0.0798 , 180.7799
0.0691 , 179.7264
0.0594 , 178.6729
0.0488 , 176.5660
0.0391 , 175.5125
0.0284 , 172.3521
0.0177 , 169.1917
