CMS700,
X,Y
0.9587 , 252.4156
0.8685 , 243.9879
0.7792 , 238.7206
0.7491 , 238.7206
0.6880 , 236.6136
0.6599 , 234.5067
0.5988 , 234.5067
0.5697 , 232.3998
0.5076 , 231.3463
0.4795 , 230.2928
0.4193 , 229.2394
0.3883 , 228.1859
0.3301 , 226.0789
0.2981 , 225.0255
0.2767 , 223.9720
0.2496 , 222.9185
0.2195 , 221.8651
0.2098 , 221.8651
0.1904 , 220.8116
0.1613 , 219.7581
0.1283 , 215.5443
0.1002 , 212.3839
0.0905 , 211.3304
0.0798 , 210.2769
0.0691 , 206.0631
0.0585 , 202.9027
0.0497 , 200.7957
0.0391 , 197.6353
0.0294 , 192.3680
0.0197 , 181.8333
0.0090 , 172.3521
0.0032 , 158.6570
