CMS550,
X,Y
0.1283 , 112.2172
0.1600 , 114.0271
0.1883 , 114.0271
0.6883 , 126.6968
0.9283 , 133.9367
0.8675 , 131.2669
0.8384 , 131.2669
0.7802 , 129.1599
0.7491 , 128.1065
0.6599 , 125.9995
0.5978 , 124.9461
0.5687 , 122.8391
0.5076 , 122.8391
0.4795 , 122.8391
0.4184 , 121.7857
0.3893 , 120.7322
0.3281 , 119.6787
0.3000 , 117.5718
0.2787 , 116.5183
0.2486 , 115.4649
0.2185 , 116.5183
0.2088 , 115.4649
0.0992 , 112.3045
0.0885 , 111.2510
0.0788 , 109.1441
0.0691 , 109.1441
0.0585 , 108.0906
0.0497 , 107.0371
0.0400 , 103.8767
0.0294 , 101.7698
0.0187 , 99.6629
0.0090 , 95.4490
0.0022 , 76.4866
0.0051 , 85.9678
