ZL5,
X,Y
0.0800 , 325.8617
0.1000 , 339.1814
0.1200 , 347.3560
0.1400 , 356.4288
0.1600 , 365.4989
0.1800 , 373.3757
0.2000 , 380.6718
0.2200 , 387.7856
0.2400 , 394.3517
0.2600 , 400.0601
0.2800 , 405.2594
0.3000 , 410.4237
0.3200 , 415.7494
0.3400 , 421.3353
0.3600 , 426.8644
0.3800 , 431.9106
0.4000 , 436.7287
0.4200 , 441.6654
0.4400 , 446.5349
0.4600 , 451.4182
0.4800 , 456.2711
0.5000 , 460.8839
0.5200 , 465.2486
0.5400 , 469.3905
0.5600 , 473.3699
0.5800 , 477.2819
0.6000 , 481.2719
0.6200 , 485.4109
0.6400 , 489.5122
0.6600 , 493.3591
0.6800 , 496.7622
0.7000 , 499.6708
0.7200 , 502.4612
0.7400 , 505.4450
0.7600 , 508.5965
0.7800 , 511.8821
0.8000 , 515.3220
0.8200 , 518.8851
0.8400 , 522.4367
0.8600 , 525.9397
0.8800 , 529.6286
0.9000 , 533.7568
0.9200 , 538.5737
0.9400 , 544.2063
0.9600 , 550.9953
0.9800 , 557.1710
0.9943 , 562.8966
0.0627 , 316.6897
0.0502 , 308.0000
0.0160 , 262.6207
0.0011 , 224.0000
0.0091 , 254.8966
-0.0023 , 176.6897
0.0000 , 161.2414
-0.0011 , 112.9655
-0.0011 , 126.4828
-0.0011 , 69.5172
-0.0011 , 20.2759
-0.0011 , 6.7586
