Z800,
X,Y
0.0400 , 251.7636
0.0600 , 263.1289
0.0800 , 269.7834
0.1000 , 274.1629
0.1200 , 277.7304
0.1400 , 281.8360
0.1600 , 285.5404
0.1800 , 288.9930
0.2000 , 291.3072
0.2200 , 294.2162
0.2400 , 297.1661
0.2600 , 300.0666
0.2800 , 303.3272
0.3000 , 304.6082
0.3200 , 307.4404
0.3400 , 311.0196
0.3600 , 313.9256
0.3800 , 317.3726
0.4000 , 319.3249
0.4200 , 321.4332
0.4400 , 323.3313
0.4600 , 326.0236
0.4800 , 329.1924
0.5000 , 330.0567
0.5200 , 332.0862
0.5400 , 334.1900
0.5600 , 336.3982
0.5800 , 339.0945
0.6000 , 340.5617
0.6200 , 343.6595
0.6400 , 346.2183
0.6600 , 348.9189
0.7000 , 352.9820
0.7200 , 354.7115
0.7400 , 356.7736
0.7600 , 359.1849
0.7800 , 362.3121
0.8000 , 364.1719
0.8200 , 367.1761
0.8400 , 369.1969
0.8600 , 370.8507
0.8800 , 373.1422
0.9000 , 373.9334
0.9200 , 376.0126
0.9400 , 378.3254
0.9600 , 381.3310
0.9800 , 384.0391
0.6794 , 350.8143
0.9934 , 387.1514
0.0109 , 233.9351
0.0022 , 214.7099
0.0011 , 197.4029
0.0000 , 170.4806
0.0000 , 153.1729
0.0000 , 140.9934
0.0000 , 128.8139
-0.0011 , 105.0966
0.0000 , 82.0190
0.0000 , 66.6344
0.0000 , 47.4036
0.0011 , 24.9670
0.0000 , 8.3011
