Z700,
X,Y
0.9956 , 476.2526
0.9475 , 467.3091
0.8993 , 459.6476
0.8490 , 451.9876
0.7987 , 444.9686
0.7484 , 437.3085
0.6991 , 429.6478
0.6488 , 423.2698
0.6007 , 415.6083
0.5492 , 408.5900
0.5000 , 400.2883
0.4497 , 391.3462
0.3993 , 383.0451
0.3490 , 374.7440
0.3009 , 367.0826
0.2505 , 358.7815
0.1991 , 347.9170
0.1488 , 335.7698
0.0985 , 321.0585
0.0503 , 299.2945
0.0088 , 257.6544
0.0055 , 249.9642
0.0044 , 242.9137
0.0011 , 209.5824
-0.0011 , 126.8915
-0.0011 , 82.0197
-0.0011 , 64.0710
-0.0011 , 34.5838
