Z600,
X,Y
0.0800 , 236.5025
0.1000 , 242.7516
0.1200 , 245.2187
0.1400 , 248.9273
0.1600 , 252.9734
0.1800 , 256.1623
0.2000 , 258.8554
0.2200 , 261.5187
0.2400 , 264.1427
0.2600 , 266.6271
0.2800 , 268.8250
0.3000 , 270.7451
0.3200 , 272.6603
0.3400 , 274.7435
0.3600 , 276.9407
0.3800 , 279.1393
0.4000 , 281.1249
0.4200 , 282.8193
0.4400 , 284.4906
0.4600 , 286.3255
0.4800 , 288.1417
0.5000 , 289.8127
0.5200 , 291.4200
0.5400 , 293.0174
0.5600 , 294.5979
0.5800 , 296.1203
0.6000 , 297.4733
0.6200 , 298.6532
0.6400 , 299.9255
0.6600 , 301.4776
0.6800 , 303.1472
0.7000 , 304.7416
0.7200 , 306.0714
0.7400 , 307.0379
0.7600 , 307.8020
0.7800 , 308.5783
0.8000 , 309.5957
0.8200 , 310.8612
0.8400 , 312.1387
0.8600 , 313.2922
0.8800 , 314.5241
0.9000 , 316.0564
0.9200 , 317.7229
0.9400 , 319.2698
0.9600 , 320.6851
0.9800 , 321.5124
0.0624 , 231.3380
0.0492 , 227.5003
0.0120 , 194.8318
-0.0011 , 122.4043
-0.0011 , 107.6607
0.9945 , 324.3302
