ZL6,
X,Y
0.9943 , 616.0000
0.9510 , 585.1034
0.9008 , 571.5862
0.8506 , 560.0000
0.7993 , 549.3793
0.7491 , 538.7586
0.7013 , 529.1034
0.6499 , 519.4483
0.5986 , 508.8276
0.5496 , 499.1724
0.4971 , 486.6207
0.4493 , 474.0690
0.4002 , 459.5862
0.3478 , 445.1034
0.2999 , 431.5862
0.2509 , 415.1724
0.2007 , 397.7931
0.1482 , 375.5862
0.1003 , 351.4483
0.0490 , 315.7241
0.0091 , 262.6207
0.0057 , 253.9310
0.0046 , 244.2759
0.0023 , 231.7241
0.0000 , 200.8276
0.0000 , 175.7241
0.0000 , 188.2759
0.0000 , 158.3448
-0.0011 , 135.1724
-0.0011 , 128.4138
0.0000 , 109.1034
-0.0011 , 83.0345
0.0000 , 48.2759
-0.0011 , 33.7931
0.0000 , 9.6552
