ZL6,
X,Y
0.1200 , 364.6086
0.1400 , 373.7633
0.1600 , 383.2092
0.1800 , 392.4139
0.2000 , 400.1939
0.2200 , 407.5564
0.2400 , 414.6798
0.2600 , 421.3670
0.2800 , 427.7996
0.3000 , 434.2237
0.3200 , 440.4148
0.3400 , 446.1068
0.3600 , 451.4649
0.3800 , 456.6468
0.4000 , 461.6488
0.4200 , 466.7101
0.4400 , 472.0308
0.4600 , 477.5150
0.4800 , 483.1086
0.5000 , 488.7506
0.5200 , 494.1899
0.5400 , 499.5808
0.5600 , 504.8247
0.5800 , 509.5086
0.6000 , 513.5482
0.6200 , 517.0091
0.6400 , 520.2150
0.6600 , 523.6606
0.6800 , 527.0952
0.7000 , 530.2591
0.7200 , 533.7570
0.7400 , 538.1365
0.7600 , 543.0196
0.7800 , 548.0229
0.8000 , 552.3680
0.8200 , 555.7127
0.8400 , 558.8260
0.8600 , 562.3724
0.8800 , 566.7795
0.9000 , 572.1869
0.9200 , 578.7467
0.9400 , 587.0789
0.9600 , 597.3269
0.9800 , 606.5248
0.0684 , 328.2759
0.0992 , 352.4138
0.0821 , 338.8966
0.0365 , 304.1379
0.0479 , 316.6897
0.0251 , 287.7241
0.0103 , 263.5862
0.0023 , 246.2069
0.0023 , 230.7586
0.0000 , 202.7586
0.0000 , 194.0690
-0.0011 , 186.3448
-0.0011 , 173.7931
0.0000 , 156.4138
0.0000 , 138.0690
-0.0011 , 129.3793
-0.0011 , 123.5862
0.0000 , 108.1379
-0.0011 , 85.9310
-0.0011 , 75.3103
-0.0011 , 65.6552
0.0000 , 47.3103
0.0000 , 31.8621
0.0000 , 22.2069
0.0000 , 8.6897
