AC1-1h,
X,Y
0.0080 , 292.5000
0.0289 , 306.2500
0.0431 , 311.8750
0.0734 , 316.2500
0.0860 , 318.1250
0.1001 , 318.7500
0.1504 , 322.5000
0.1918 , 322.5000
0.2211 , 324.3750
0.2708 , 326.2500
0.2823 , 326.8750
0.2912 , 326.2500
0.3274 , 325.6250
0.3970 , 327.5000
0.4514 , 326.8750
0.5038 , 328.1250
0.5556 , 328.7500
0.6075 , 328.7500
0.6436 , 328.7500
0.6787 , 329.3750
0.7132 , 329.3750
0.7478 , 329.3750
0.7818 , 328.7500
0.8158 , 330.6250
0.8514 , 332.5000
0.8860 , 332.5000
0.9583 , 336.8750
0.9855 , 339.3750
