AC3-1h,
X,Y
0.0086 , 526.8750
0.0181 , 571.8750
0.0286 , 603.7500
0.0385 , 630.0000
0.0427 , 639.3750
0.0485 , 651.2500
0.0579 , 671.8750
0.0710 , 694.3750
0.0831 , 711.2500
0.0977 , 730.0000
0.1198 , 753.7500
0.1522 , 778.1250
0.1999 , 799.3750
0.2418 , 810.6250
0.2727 , 817.5000
0.2947 , 821.2500
0.3093 , 823.7500
0.3318 , 826.2500
0.3952 , 831.8750
0.4496 , 835.6250
0.5010 , 836.8750
0.5549 , 841.2500
0.6078 , 841.2500
0.6434 , 843.7500
0.6779 , 845.0000
0.7135 , 845.6250
0.7476 , 846.2500
0.7826 , 846.8750
0.8188 , 848.7500
0.8523 , 848.7500
0.8868 , 850.6250
0.9606 , 851.8750
0.9779 , 853.7500
0.9921 , 855.0000
