AC2-1-5h,
X,Y
0.9875 , 516.7790
0.9757 , 516.2198
0.9591 , 515.1033
0.9411 , 514.6813
0.9225 , 514.5372
0.8843 , 514.5266
0.8528 , 514.3788
0.8172 , 514.0910
0.7822 , 514.3592
0.7466 , 514.0713
0.7130 , 513.6450
0.6774 , 513.6351
0.6428 , 513.2086
0.6072 , 513.1987
0.5551 , 512.4893
0.5025 , 512.1967
0.4504 , 511.6262
0.3962 , 510.2213
0.3281 , 508.6735
0.2904 , 507.5512
0.2816 , 506.9928
0.2713 , 506.7120
0.2223 , 504.0576
0.1495 , 498.6170
0.1020 , 491.9325
0.0850 , 488.1751
0.0747 , 485.5315
0.0566 , 479.2722
0.0483 , 474.9613
0.0442 , 472.1805
0.0390 , 468.4264
0.0292 , 459.1117
0.0173 , 445.0708
0.0084 , 423.6646
