AC2-2h,
X,Y
0.9756 , 483.9751
0.9570 , 483.4140
0.9405 , 482.5755
0.9224 , 482.4315
0.8868 , 482.2826
0.8517 , 481.7170
0.8166 , 481.8462
0.7816 , 481.8364
0.7109 , 481.2608
0.6773 , 480.9735
0.6433 , 480.9641
0.6071 , 480.5371
0.5550 , 480.2446
0.5024 , 479.8130
0.4498 , 479.1035
0.3961 , 478.2546
0.3295 , 476.5683
0.2826 , 475.1654
0.2702 , 475.0230
0.2547 , 474.0458
0.2237 , 472.6473
0.1505 , 467.2065
0.1004 , 460.1043
0.0849 , 456.4864
0.0751 , 453.4260
0.0580 , 447.7229
0.0487 , 443.5507
0.0420 , 440.0742
0.0389 , 437.2937
0.0286 , 430.3415
0.0182 , 417.6910
0.0084 , 397.3964
