APM-55,
X,Y
0.0215 , 393.3351
0.0394 , 431.0212
0.0592 , 458.6666
0.0799 , 477.7990
0.1011 , 491.7451
0.1235 , 502.0877
0.1472 , 511.3933
0.1690 , 516.4778
0.1910 , 520.8642
0.2126 , 523.6204
0.2343 , 526.8890
0.2553 , 526.6348
0.2779 , 530.2787
0.2998 , 530.8961
0.3214 , 532.6999
0.3434 , 535.0243
0.3650 , 534.4755
0.3778 , 536.0896
0.4145 , 537.0581
0.4362 , 538.7529
0.4576 , 538.7529
0.4798 , 541.4163
0.5016 , 540.0846
0.5233 , 541.0531
0.5362 , 541.4163
0.5768 , 544.0796
0.5981 , 543.4137
0.6208 , 542.8466
0.6401 , 544.6122
0.6589 , 546.7429
0.7096 , 544.4125
0.7331 , 546.7429
0.7549 , 546.7429
0.7688 , 546.7429
0.8179 , 547.0092
0.8408 , 549.4062
0.8618 , 549.4062
0.8836 , 549.4062
0.9064 , 548.3705
0.9212 , 547.7195
0.9588 , 552.0696
0.9974 , 547.8526
