PM,
X,Y
0.0334 , 9.2828
0.0546 , 12.1533
0.0810 , 17.1840
0.1106 , 23.3984
0.1334 , 28.7251
0.1631 , 32.7201
0.1858 , 36.8816
0.2155 , 41.3759
0.2650 , 44.5386
0.3133 , 47.0725
0.3452 , 48.7001
0.3660 , 49.8653
0.4006 , 51.4845
0.4204 , 52.1032
0.4897 , 54.0267
0.5114 , 54.3899
0.5332 , 54.0267
0.5471 , 54.0267
0.6025 , 56.6901
0.6243 , 56.6901
0.6460 , 56.6901
0.6649 , 56.6901
0.6922 , 56.6901
0.7120 , 57.6888
0.7305 , 57.5779
0.7549 , 59.3534
0.7767 , 59.3534
0.7985 , 59.3534
0.8202 , 60.0798
0.8420 , 59.3534
0.8608 , 59.3534
0.9172 , 61.2904
0.9390 , 62.0167
0.9616 , 64.4137
0.9825 , 65.1643
