APM-77,
X,Y
0.0225 , 449.9541
0.0364 , 482.8230
0.0502 , 515.1888
0.0690 , 549.3530
0.0898 , 582.3347
0.1076 , 608.3800
0.1255 , 632.0906
0.1472 , 657.7554
0.1690 , 678.5778
0.1908 , 699.2791
0.2126 , 713.9274
0.2343 , 726.8809
0.2561 , 737.6553
0.2779 , 744.9189
0.2997 , 751.0930
0.3214 , 756.1775
0.3432 , 760.8989
0.3650 , 764.7728
0.3867 , 768.6468
0.4085 , 771.9638
0.4303 , 773.6103
0.4521 , 776.0315
0.4738 , 778.3316
0.4956 , 779.8650
0.5174 , 781.1967
0.5392 , 783.6583
0.5609 , 785.3531
0.5827 , 787.0480
0.6045 , 789.2271
0.6263 , 790.3166
0.6480 , 791.7693
0.6698 , 792.7378
0.6916 , 794.5537
0.7133 , 796.0064
0.7351 , 797.0960
0.7569 , 798.3066
0.7787 , 799.7593
0.8004 , 800.7278
0.8222 , 802.1805
0.8440 , 802.4227
0.8658 , 803.6333
0.8875 , 804.7228
0.9093 , 806.0545
0.9311 , 808.4757
0.9529 , 811.6232
0.9746 , 815.0129
0.9934 , 816.4051
