450W,
X,Y
0.0200 , 193.3869
0.0400 , 201.5919
0.0600 , 205.9718
0.0800 , 209.2108
0.1000 , 211.2919
0.1200 , 212.4846
0.1400 , 213.9703
0.1600 , 215.0115
0.1800 , 215.8482
0.2000 , 216.6188
0.2200 , 216.8690
0.2400 , 217.6793
0.2600 , 218.1895
0.2800 , 218.7527
0.3000 , 219.7995
0.3200 , 219.8073
0.3400 , 220.3418
0.3600 , 220.6024
0.3800 , 220.8564
0.4000 , 221.7948
0.4200 , 221.6630
0.4400 , 222.1992
0.4600 , 222.4683
0.4800 , 222.7275
0.5000 , 223.5480
0.5200 , 223.2587
0.5400 , 223.5050
0.5600 , 223.8039
0.5800 , 224.3403
0.6000 , 224.5631
0.6200 , 224.5626
0.6400 , 224.8284
0.6600 , 225.1164
0.6800 , 225.5213
0.7000 , 226.1830
0.7200 , 225.8847
0.7400 , 226.7051
0.7600 , 226.6960
0.7800 , 227.2693
0.8000 , 227.7697
0.8200 , 228.2960
0.8400 , 228.8265
0.8600 , 228.8380
0.8800 , 229.0714
0.9000 , 229.9091
0.9200 , 230.9621
0.9400 , 232.2812
0.9600 , 233.8039
0.9800 , 237.1013
0.0292 , 198.2410
0.0104 , 187.3433
