700W,
X,Y
0.0600 , 272.7575
0.0800 , 277.7122
0.1000 , 281.9139
0.1200 , 285.1057
0.1400 , 287.6300
0.1600 , 289.6684
0.1800 , 291.3128
0.2000 , 292.6442
0.2200 , 293.6767
0.2400 , 294.8358
0.2600 , 295.9577
0.2800 , 296.8801
0.3000 , 297.6904
0.3200 , 298.6170
0.3400 , 299.6077
0.3600 , 300.1091
0.3800 , 300.5865
0.4000 , 301.1717
0.4200 , 301.7084
0.4400 , 302.4608
0.4600 , 303.1615
0.4800 , 303.7369
0.5000 , 304.2630
0.5200 , 304.8415
0.5400 , 305.5038
0.5600 , 306.0019
0.5800 , 306.2622
0.6000 , 307.0119
0.6200 , 307.9087
0.6400 , 307.9753
0.6600 , 307.9369
0.6800 , 308.3475
0.7000 , 308.8794
0.7200 , 309.3839
0.7400 , 309.9267
0.7600 , 310.5295
0.7800 , 311.1300
0.8000 , 311.7022
0.8200 , 312.5817
0.8400 , 313.6400
0.8600 , 314.6143
0.8800 , 315.2031
0.9000 , 315.8881
0.9200 , 317.2237
0.9400 , 318.8822
0.9600 , 320.7308
0.9800 , 323.7374
0.0324 , 261.4179
0.0104 , 241.5415
0.0084 , 229.9970
0.0084 , 214.2827
0.0073 , 196.0032
