800W,
X,Y
0.0800 , 247.0281
0.1000 , 250.6623
0.1200 , 253.9599
0.1400 , 256.9285
0.1600 , 259.3698
0.1800 , 261.0431
0.2000 , 262.5505
0.2200 , 263.6199
0.2400 , 264.7187
0.2600 , 266.0076
0.2800 , 267.2020
0.3000 , 268.4195
0.3200 , 269.6262
0.3400 , 270.4311
0.3600 , 271.0678
0.3800 , 271.8242
0.4000 , 272.5073
0.4200 , 272.8916
0.4400 , 273.5375
0.4600 , 274.1200
0.4800 , 274.2772
0.5000 , 274.7073
0.5200 , 275.1694
0.5400 , 275.7646
0.5600 , 276.3022
0.5800 , 276.7558
0.6000 , 277.2364
0.6200 , 277.6104
0.6400 , 278.1081
0.6600 , 278.5512
0.6800 , 278.9828
0.7000 , 279.4576
0.7200 , 280.0095
0.7400 , 280.5564
0.7600 , 281.1102
0.7800 , 281.7597
0.8000 , 282.2946
0.8200 , 282.9271
0.8400 , 283.5642
0.8600 , 284.0943
0.8800 , 284.9005
0.9000 , 286.0858
0.9200 , 287.5359
0.9400 , 289.3567
0.9600 , 291.5231
0.0595 , 242.4879
0.0313 , 230.6310
0.0104 , 214.9234
0.0209 , 222.6169
0.0449 , 236.7200
0.9885 , 297.0296
0.9749 , 294.1476
