600W,
X,Y
0.0094 , 201.4544
0.0292 , 213.9553
0.0574 , 223.8880
0.0814 , 227.4080
0.1013 , 229.9672
0.1221 , 232.2054
0.1409 , 234.1236
0.1608 , 235.4000
0.1806 , 236.3557
0.2015 , 237.6318
0.2484 , 239.5410
0.2996 , 241.4488
0.3497 , 242.7155
0.3967 , 243.9832
0.4468 , 245.5707
0.4979 , 246.5164
0.5459 , 247.1424
0.5960 , 248.4091
0.6493 , 249.3541
0.6962 , 250.3012
0.7380 , 250.9292
0.7693 , 252.2019
0.7985 , 252.5133
0.8194 , 252.8273
0.8382 , 253.7833
0.8591 , 254.7387
0.8758 , 255.0541
0.8883 , 255.6915
0.9040 , 256.3278
0.9154 , 257.2863
0.9248 , 257.6039
0.9332 , 257.9220
0.9405 , 258.5610
0.9499 , 259.1994
0.9624 , 260.1575
0.9729 , 261.1162
0.9802 , 263.3588
0.9875 , 264.6393
