4min,
X,Y
0.0115 , 238.3082
0.0323 , 255.2568
0.0625 , 265.5589
0.0802 , 269.2145
0.1021 , 272.8701
0.1219 , 275.1964
0.1438 , 277.8550
0.1635 , 279.1843
0.1823 , 280.8459
0.2021 , 282.1752
0.2490 , 284.5015
0.3000 , 286.4955
0.3521 , 288.4894
0.4000 , 289.4864
0.4479 , 290.4834
0.4990 , 291.8127
0.5490 , 292.8097
0.5979 , 293.8066
0.6479 , 294.4713
0.6990 , 295.8006
0.7385 , 296.4653
0.7677 , 297.1299
0.7990 , 297.7946
0.8188 , 298.4592
0.8385 , 299.4562
0.8594 , 300.1208
0.8729 , 300.7855
0.8885 , 301.4502
0.9021 , 302.1148
0.9146 , 302.7795
0.9250 , 303.4441
0.9323 , 303.7764
0.9406 , 304.4411
0.9510 , 304.7734
0.9594 , 305.7704
0.9708 , 307.0997
0.9771 , 308.7613
0.9833 , 310.4230
0.9896 , 311.7523
