4min,
X,Y
0.0400 , 258.2000
0.0600 , 265.2230
0.0800 , 269.2329
0.1000 , 272.6052
0.1200 , 275.3474
0.1400 , 277.2394
0.1600 , 278.8426
0.1800 , 280.6961
0.2000 , 281.6417
0.2200 , 283.2263
0.2400 , 283.7403
0.2600 , 284.8573
0.2800 , 285.4000
0.3000 , 285.7309
0.3200 , 287.0746
0.3400 , 288.0223
0.3600 , 288.4462
0.3800 , 288.6906
0.4200 , 290.6778
0.4400 , 290.6825
0.4600 , 291.0455
0.4800 , 291.7508
0.5000 , 291.4783
0.5200 , 292.3228
0.5400 , 292.6652
0.5600 , 292.9019
0.5800 , 293.4587
0.6000 , 293.6339
0.6200 , 294.3212
0.6400 , 294.5528
0.6600 , 295.1163
0.6800 , 295.1087
0.7000 , 295.9530
0.7200 , 296.9812
0.7400 , 297.0992
0.7600 , 297.3129
0.7800 , 297.9027
0.8000 , 297.9994
0.8200 , 297.8684
0.8400 , 298.9287
0.8600 , 299.6663
0.8800 , 301.6033
0.9000 , 302.3504
0.9200 , 303.5571
0.9800 , 309.3578
0.0313 , 254.9245
0.0208 , 245.6193
0.0135 , 237.9758
0.3990 , 289.8187
0.9365 , 304.7734
0.9583 , 306.1027
