8min,
X,Y
0.0200 , 211.6988
0.0400 , 224.6255
0.0600 , 233.1265
0.0800 , 238.6750
0.1000 , 243.1454
0.1200 , 246.5364
0.1400 , 249.2357
0.1600 , 251.2760
0.1800 , 253.0734
0.2000 , 254.8702
0.2200 , 255.9732
0.2400 , 257.6490
0.2600 , 258.7616
0.2800 , 259.8799
0.3000 , 260.7111
0.3200 , 262.4468
0.3400 , 262.9308
0.3600 , 263.2007
0.3800 , 264.7063
0.4000 , 265.1709
0.4200 , 266.4629
0.4400 , 266.6430
0.4600 , 267.2743
0.4800 , 267.6484
0.5000 , 268.3849
0.5200 , 268.7574
0.5400 , 269.2879
0.5600 , 269.8738
0.5800 , 270.4237
0.6000 , 271.2706
0.6200 , 271.5339
0.6400 , 272.1134
0.6600 , 272.6472
0.6800 , 273.1964
0.7000 , 273.5063
0.7200 , 274.3186
0.7400 , 275.0150
0.7600 , 275.1785
0.7800 , 276.6887
0.8000 , 276.9214
0.8200 , 278.4918
0.8400 , 278.8538
0.8600 , 279.5424
0.8800 , 280.4193
0.9000 , 281.0034
0.9200 , 282.5303
0.9400 , 284.3122
0.9600 , 285.8552
0.9800 , 288.7255
