600W,
X,Y
0.0200 , 207.4214
0.0400 , 217.5020
0.0600 , 224.4006
0.0800 , 227.8321
0.1000 , 230.6513
0.1200 , 232.5871
0.1400 , 234.6851
0.1600 , 235.6519
0.1800 , 237.0652
0.2000 , 237.8063
0.2200 , 238.3731
0.2400 , 239.4571
0.2600 , 240.0955
0.2800 , 240.7760
0.3000 , 242.1450
0.3200 , 242.1059
0.3400 , 242.6197
0.3600 , 243.1481
0.3800 , 244.0983
0.4000 , 245.0261
0.4200 , 245.1617
0.4400 , 245.1963
0.4600 , 245.5460
0.4800 , 245.8195
0.5000 , 246.7743
0.5200 , 246.8822
0.5400 , 247.4387
0.5600 , 247.6775
0.5800 , 247.9428
0.6000 , 248.6092
0.6200 , 248.7182
0.6400 , 249.2108
0.6600 , 249.5371
0.6800 , 249.9440
0.7000 , 250.5751
0.7200 , 250.5974
0.7400 , 251.6152
0.7600 , 251.6605
0.7800 , 252.1945
0.8000 , 252.7376
0.8200 , 253.5075
0.8400 , 254.5339
0.8600 , 254.5590
0.8800 , 254.8869
0.9000 , 255.8632
0.9200 , 257.8471
0.9400 , 258.8273
0.9600 , 260.1590
0.9800 , 262.8598
0.0282 , 214.2763
0.0104 , 201.4540
