450W,
X,Y
0.0104 , 188.6261
0.0313 , 199.8438
0.0574 , 205.2874
0.0804 , 208.4870
0.1002 , 210.4048
0.1200 , 211.6813
0.1399 , 213.2784
0.1597 , 214.5549
0.1806 , 215.5103
0.1994 , 216.1456
0.2484 , 218.0541
0.2985 , 219.3208
0.3497 , 220.5872
0.3987 , 221.5336
0.4489 , 222.4796
0.4979 , 223.1053
0.5470 , 223.7310
0.5971 , 224.3563
0.6482 , 224.9813
0.6962 , 225.6073
0.7380 , 226.5560
0.7683 , 226.8670
0.7985 , 227.1780
0.8194 , 227.8127
0.8382 , 228.1274
0.8591 , 228.4414
0.8737 , 229.0781
0.8904 , 229.7141
0.9061 , 230.3505
0.9165 , 230.9885
0.9238 , 230.9862
0.9322 , 231.6249
0.9426 , 232.2630
0.9489 , 232.9024
0.9562 , 233.2207
0.9666 , 234.5002
0.9749 , 235.7803
0.9823 , 237.0607
0.9875 , 238.6626
