10min,
X,Y
0.0125 , 202.4169
0.0313 , 218.0363
0.0615 , 226.6767
0.0802 , 229.6677
0.1031 , 232.6586
0.1229 , 234.9849
0.1438 , 236.9789
0.1635 , 237.9758
0.1833 , 238.9728
0.2031 , 240.6344
0.2469 , 243.2931
0.3010 , 244.9547
0.3510 , 245.9517
0.3979 , 247.2810
0.4500 , 248.6103
0.5000 , 249.2749
0.5469 , 250.2719
0.5979 , 251.2689
0.6469 , 251.2689
0.6969 , 252.5982
0.7365 , 253.5952
0.7677 , 254.2598
0.7979 , 254.5921
0.8198 , 254.9245
0.8385 , 255.5891
0.8594 , 256.5861
0.8740 , 256.5861
0.8885 , 257.5831
0.9021 , 257.5831
0.9135 , 258.2477
0.9240 , 258.9124
0.9313 , 258.9124
0.9385 , 259.5770
0.9469 , 260.2417
0.9563 , 260.9063
0.9625 , 261.9033
0.9740 , 262.9003
0.9854 , 264.5619
0.9896 , 265.8912
