czarny,
X,Y
0.0200 , 283.3841
0.0400 , 299.3718
0.0600 , 311.6689
0.0800 , 323.2742
0.1000 , 330.5205
0.1200 , 334.4663
0.1400 , 337.1395
0.1600 , 339.3594
0.1800 , 341.5530
0.2000 , 343.6556
0.2200 , 345.4861
0.2400 , 346.9366
0.2600 , 348.0177
0.2800 , 348.9434
0.3000 , 349.8771
0.3200 , 350.6496
0.3400 , 351.1269
0.3600 , 351.5623
0.3800 , 352.2251
0.4000 , 353.0906
0.4200 , 354.0525
0.4400 , 355.0751
0.4600 , 356.0891
0.4800 , 356.7869
0.5000 , 356.9744
0.5200 , 356.9608
0.5400 , 357.0835
0.5600 , 357.4117
0.5800 , 357.9137
0.6000 , 358.5846
0.6200 , 359.3801
0.6400 , 360.1306
0.6600 , 360.6626
0.6800 , 360.7796
0.7000 , 360.4776
0.7200 , 360.2232
0.7400 , 360.4212
0.7600 , 360.7793
0.7800 , 360.9277
0.8000 , 360.9358
0.8200 , 360.9932
0.8400 , 361.2725
0.8600 , 361.6929
0.8800 , 361.9244
0.9000 , 361.7592
0.9200 , 362.5313
0.9400 , 364.9309
0.9600 , 368.5347
