UFFA-3-600-b-blue,
X,Y
0.9878 , 395.7658
0.9621 , 394.5274
0.9306 , 395.7424
0.9117 , 394.5068
0.8776 , 396.1300
0.8603 , 395.3044
0.8252 , 396.5178
0.8084 , 395.2831
0.7743 , 396.0877
0.7581 , 395.6718
0.7219 , 397.2941
0.7067 , 396.8786
0.6710 , 398.5011
0.6543 , 396.4479
0.6191 , 397.6613
0.5829 , 395.6001
0.5672 , 397.6401
0.5321 , 395.9886
0.5163 , 398.4378
0.4833 , 397.6057
0.4319 , 396.3569
0.3816 , 395.5177
0.3328 , 394.2699
0.2830 , 393.8402
0.2405 , 390.1394
0.2264 , 391.7707
0.1865 , 387.6616
0.1781 , 390.9324
0.1356 , 384.3666
0.1267 , 386.0000
0.0753 , 374.9285
0.0228 , 341.7556
0.0102 , 322.5144
