UFFA-1-600-b-black,
X,Y
0.9886 , 149.7907
0.9440 , 140.3591
0.8910 , 139.1096
0.8795 , 139.9234
0.8418 , 137.8616
0.8092 , 138.2575
0.7594 , 137.4186
0.7411 , 138.6389
0.7065 , 137.8062
0.6740 , 138.2022
0.6572 , 137.3767
0.6199 , 138.9986
0.6037 , 137.7641
0.5691 , 139.7963
0.5533 , 137.7435
0.5166 , 139.3656
0.5025 , 137.3134
0.4653 , 140.1631
0.4312 , 139.3306
0.4133 , 140.1419
0.3787 , 138.4906
0.3630 , 139.7120
0.3294 , 137.6519
0.3111 , 140.5093
0.2791 , 138.4498
0.2282 , 138.0197
0.1800 , 137.1814
0.1317 , 135.9339
0.0746 , 133.8641
0.0200 , 129.3397
0.0111 , 124.4247
