UFFA-2-600-b-red,
X,Y
0.9841 , 373.6633
0.9405 , 372.8270
0.9280 , 372.8218
0.8897 , 372.3969
0.8745 , 372.7999
0.8393 , 371.9670
0.8226 , 372.7787
0.7885 , 372.3554
0.7387 , 371.5165
0.6883 , 371.4959
0.6354 , 370.2464
0.5855 , 370.6353
0.5341 , 368.9771
0.4817 , 368.1371
0.4314 , 367.7072
0.3794 , 366.4582
0.3307 , 365.6197
0.2803 , 363.9619
0.2400 , 361.4898
0.2263 , 361.8934
0.1854 , 357.7839
0.1744 , 359.4165
0.1387 , 354.4906
0.1256 , 355.3038
0.0711 , 345.8681
0.0218 , 325.7934
0.0108 , 309.0085
