rozowy,
X,Y
0.0109 , 479.8870
0.0199 , 522.8925
0.0415 , 570.1356
0.0557 , 601.4053
0.0688 , 637.9560
0.0941 , 670.3055
0.1214 , 705.7117
0.1538 , 729.6703
0.1862 , 746.9273
0.2185 , 757.8310
0.2509 , 764.5358
0.2833 , 769.1411
0.3157 , 772.5274
0.3480 , 774.8300
0.3804 , 776.6586
0.4128 , 778.7581
0.4452 , 780.6544
0.4775 , 781.9412
0.5099 , 783.4311
0.5423 , 785.0565
0.5747 , 786.1401
0.6070 , 786.5465
0.6394 , 787.9010
0.6718 , 788.7814
0.7042 , 789.7973
0.7365 , 790.2036
0.7689 , 790.4068
0.8013 , 791.2195
0.8337 , 792.1677
0.8660 , 792.3031
0.8984 , 793.1835
0.9308 , 793.8608
0.9632 , 797.3148
0.9885 , 803.1617
