UFFA-2-500,
X,Y
0.0177 , 0.6681
0.0350 , 0.6681
0.0696 , 0.6681
0.0809 , 1.5948
0.1189 , 0.6681
0.1544 , 0.6681
0.1743 , 1.5948
0.2054 , 1.5948
0.2253 , 1.5948
0.2617 , 1.5948
0.2772 , 1.5948
0.3127 , 1.5948
0.3274 , 1.5948
0.3672 , 0.6681
0.3975 , 0.6681
0.4157 , 0.6681
0.4494 , 0.6681
0.4659 , 0.6681
0.5005 , 0.6681
0.5186 , 0.6681
0.5515 , 0.6681
0.5679 , 1.5948
0.6026 , 1.5948
0.6207 , 1.5948
0.6545 , 1.5948
0.6726 , 1.5948
0.7064 , 1.5948
0.7254 , 2.5214
0.7566 , 1.5948
0.7756 , 1.5948
0.8076 , 1.5948
0.8275 , 0.6681
0.8595 , 0.6681
0.8794 , 1.5948
0.9106 , 0.6681
0.9452 , 0.6681
0.9616 , 1.5948
0.9910 , 1.5948
