AX21,
X,Y
0.0024 , 444.7032
0.0021 , 386.3581
0.0023 , 415.0305
0.0059 , 477.0120
0.0099 , 506.3342
0.0154 , 531.3219
0.0208 , 549.3081
0.0263 , 567.1192
0.0330 , 585.6318
0.0421 , 610.2014
0.0517 , 631.2036
0.0613 , 653.8487
0.0716 , 675.7315
0.0819 , 695.7217
0.0928 , 715.3571
0.1045 , 735.8730
0.1168 , 755.6609
0.1305 , 775.7794
0.1456 , 794.7051
0.1606 , 812.7705
0.1757 , 828.8860
0.1908 , 843.5677
0.2058 , 855.9124
0.2209 , 864.3860
0.2359 , 871.0099
0.2510 , 878.0640
0.2660 , 885.2042
0.2811 , 891.3980
0.2962 , 896.3015
0.3112 , 901.4630
0.3263 , 906.6246
0.3413 , 910.6391
0.3564 , 913.1625
0.3714 , 915.9440
0.3872 , 917.0337
0.4015 , 919.5858
0.4166 , 923.3709
0.4316 , 924.8334
0.4467 , 924.5466
0.4610 , 926.0234
0.4785 , 926.9697
0.4946 , 928.8192
0.5096 , 930.7978
0.5247 , 932.6617
0.5411 , 931.9162
0.5600 , 933.6883
0.5725 , 934.7550
0.5876 , 935.9594
0.6026 , 935.9594
0.6177 , 936.9917
0.6314 , 942.0576
0.6519 , 938.9384
0.6683 , 939.8305
0.6834 , 941.1209
0.6984 , 941.6371
0.7135 , 942.4973
0.7285 , 942.9275
0.7428 , 943.9502
0.7586 , 945.4652
0.7737 , 946.2825
0.7887 , 945.8523
0.8038 , 947.2287
0.8188 , 947.3148
0.8352 , 948.7772
0.8503 , 948.9779
0.8636 , 949.2073
0.8831 , 950.5837
0.8989 , 951.5205
0.9132 , 952.9064
0.9280 , 954.5065
0.9433 , 956.2614
0.9584 , 957.7526
0.9721 , 959.8267
0.9885 , 965.3802
0.9994 , 989.2469
