CECA_CXV,
X,Y
0.0012 , 198.9285
0.0005 , 170.3390
0.0041 , 236.0431
0.0086 , 268.1425
0.0177 , 299.3849
0.0286 , 323.7645
0.0402 , 341.2766
0.0538 , 361.7642
0.0688 , 379.5200
0.0838 , 393.4936
0.0988 , 407.3037
0.1139 , 421.2773
0.1289 , 432.2273
0.1439 , 444.0762
0.1589 , 455.2714
0.1739 , 465.8946
0.1889 , 475.4554
0.2039 , 484.5260
0.2189 , 492.9428
0.2340 , 501.0327
0.2490 , 508.9592
0.2640 , 516.8857
0.2790 , 524.6488
0.2940 , 532.3302
0.3090 , 539.7664
0.3240 , 547.0392
0.3390 , 554.3120
0.3541 , 561.8027
0.3691 , 568.7486
0.3841 , 572.0445
0.3991 , 577.1926
0.4141 , 582.7494
0.4291 , 588.7964
0.4442 , 594.1080
0.4592 , 599.7464
0.4742 , 605.3849
0.4892 , 611.1868
0.5042 , 617.5607
0.5192 , 622.5454
0.5343 , 628.4290
0.5493 , 634.3943
0.5643 , 640.1962
0.5793 , 645.9981
0.5943 , 651.8817
0.6093 , 657.6836
0.6243 , 663.8123
0.6394 , 670.3496
0.6544 , 677.6224
0.6694 , 684.0780
0.6844 , 691.0240
0.6994 , 698.2150
0.7144 , 705.8147
0.7294 , 713.7412
0.7445 , 722.8934
0.7595 , 731.3103
0.7745 , 740.8711
0.7895 , 750.8405
0.8045 , 761.7906
0.8195 , 773.9664
0.8345 , 785.9787
0.8495 , 799.5437
0.8645 , 814.0075
0.8795 , 828.6185
0.8946 , 840.4020
0.9096 , 853.5584
0.9246 , 866.5513
0.9396 , 879.9529
0.9546 , 889.9223
0.9696 , 898.0803
0.9833 , 910.2697
0.9928 , 924.2384
0.9976 , 948.2975
