ACF2,
X,Y
0.9901 , 578.2615
0.9597 , 577.3787
0.9438 , 576.5022
0.8801 , 574.3006
0.7902 , 571.2180
0.6680 , 566.8171
0.5800 , 563.3005
0.4798 , 559.3439
0.3758 , 553.2118
0.2091 , 537.0523
0.1192 , 514.4045
0.0798 , 494.3874
0.0639 , 483.9457
0.0582 , 478.2911
0.0404 , 459.1529
0.0207 , 426.9704
0.0112 , 400.4446
0.0079 , 389.5736
0.0041 , 370.8763
0.0018 , 350.0056
0.0008 , 327.8313
0.0003 , 314.7876
-0.0003 , 292.1787
-0.0004 , 243.4830
-0.0004 , 219.1351
-0.0005 , 194.7873
-0.0005 , 171.3090
-0.0002 , 122.6135
-0.0002 , 97.3961
-0.0003 , 73.4830
0.0011 , 59.5706
0.0001 , 43.4832
-0.0009 , 26.0915
-0.0009 , 10.0045
