CVD2,
X,Y
0.9909 , 146.3032
0.9603 , 145.8808
0.9302 , 145.6727
0.9105 , 145.4624
0.8909 , 145.2521
0.8703 , 145.2565
0.8607 , 145.2585
0.8411 , 144.6192
0.8155 , 144.8392
0.8005 , 144.6279
0.7740 , 144.6336
0.7543 , 143.9942
0.7310 , 143.5702
0.7009 , 143.7912
0.6511 , 143.1583
0.5972 , 142.7408
0.5406 , 141.8949
0.4570 , 141.0547
0.3356 , 139.7937
0.1835 , 137.2520
0.1245 , 135.5485
0.0962 , 134.0529
0.0670 , 132.1285
0.0313 , 127.8457
0.0194 , 124.6305
0.0088 , 120.5568
0.0047 , 115.8382
0.0014 , 108.3307
