ACF1,
X,Y
0.9911 , 303.1184
0.9714 , 302.9081
0.9604 , 302.0523
0.9417 , 301.8418
0.9303 , 301.6298
0.9116 , 301.2047
0.9006 , 300.9926
0.8814 , 300.1386
0.8663 , 299.4983
0.8504 , 299.2872
0.8312 , 299.0768
0.8111 , 298.6520
0.7819 , 298.0147
0.7421 , 296.7361
0.6763 , 295.2486
0.5818 , 292.4801
0.4808 , 290.3565
0.3703 , 286.9479
0.2702 , 282.2499
0.2154 , 279.2584
0.1724 , 275.1917
0.1500 , 273.0513
0.1249 , 269.1953
0.0818 , 260.1946
0.0626 , 254.4067
0.0552 , 250.9759
0.0479 , 248.4032
0.0414 , 244.3287
0.0341 , 240.8979
0.0276 , 236.3944
0.0212 , 231.4617
0.0166 , 225.4561
0.0119 , 218.8070
0.0082 , 212.3721
0.0053 , 205.2935
0.0039 , 197.3566
0.0024 , 189.4196
0.0014 , 179.9809
0.0008 , 170.9711
0.0007 , 160.6741
0.0001 , 150.5917
