AMC-800,
X,Y
2.2000 , 222.4071
4.4000 , 232.6377
6.6000 , 240.6327
8.8000 , 246.3869
11.0000 , 251.5762
13.2000 , 255.2463
15.4000 , 258.2026
17.6000 , 260.6443
19.8000 , 262.6882
22.0000 , 264.5486
24.2000 , 266.3157
26.4000 , 267.9459
28.6000 , 269.5047
30.8000 , 270.6226
33.0000 , 271.7408
35.2000 , 273.0445
37.4000 , 273.9121
39.6000 , 275.0961
41.8000 , 276.2098
44.0000 , 277.2762
46.2000 , 278.3581
48.4000 , 278.9935
50.6000 , 279.8201
52.8000 , 280.4806
55.0000 , 281.2187
57.2000 , 281.5437
59.4000 , 282.1556
61.6000 , 282.7830
63.8000 , 283.3626
66.0000 , 284.6182
68.2000 , 285.0990
70.4000 , 285.6642
72.6000 , 286.0122
74.8000 , 286.3467
77.0000 , 287.1936
79.2000 , 287.9698
81.4000 , 289.3612
83.6000 , 290.1982
85.8000 , 290.4887
88.0000 , 291.5426
90.2000 , 293.8113
92.4000 , 296.5052
94.6000 , 299.4293
96.8000 , 302.9977
99.0000 , 307.9848
101.2000 , 319.7570
102.3218 , 331.0537
102.0844 , 323.0474
100.0818 , 312.7448
