AMC-700,
X,Y
100.5263 , 213.2553
98.4075 , 208.6700
96.2891 , 205.8000
91.4641 , 200.0570
86.7571 , 196.0300
82.0508 , 194.2902
77.1092 , 192.5491
72.2855 , 191.9522
67.3438 , 190.2112
62.2849 , 189.6131
57.2257 , 188.4432
52.0491 , 187.8445
47.1078 , 187.2470
41.9310 , 186.0765
37.1072 , 184.9079
32.2833 , 183.7392
29.5773 , 183.1534
26.9889 , 182.5681
24.5182 , 181.9835
21.9296 , 180.8264
19.3412 , 180.2412
16.7528 , 179.6559
13.9289 , 177.9259
10.8697 , 176.7664
7.6927 , 174.4627
4.6332 , 172.1597
3.1034 , 170.4363
1.9260 , 166.9995
