AMC-700,
X,Y
2.2000 , 164.9375
4.4000 , 170.3651
6.6000 , 174.3047
8.8000 , 176.9377
11.0000 , 178.7386
13.2000 , 180.0597
15.4000 , 180.9682
17.6000 , 181.4464
19.8000 , 182.0870
22.0000 , 182.7472
24.2000 , 183.2817
26.4000 , 183.8828
28.6000 , 184.1860
30.8000 , 184.3962
33.0000 , 185.2146
35.2000 , 185.5669
37.4000 , 185.7036
39.6000 , 186.3076
41.8000 , 186.6501
94.6000 , 203.8063
96.8000 , 206.1280
99.0000 , 210.3600
100.6441 , 213.8277
86.7570 , 195.4582
81.9330 , 193.7178
77.3445 , 192.5503
72.2856 , 192.5240
67.1088 , 191.3535
62.5202 , 189.6143
57.2259 , 189.0150
52.0490 , 187.2727
47.3429 , 186.6765
91.4641 , 200.0570
44.8725 , 187.2354
