AMC-900,
X,Y
100.2251 , 411.0937
98.8119 , 405.3684
96.2220 , 399.0652
91.9847 , 391.6099
86.1003 , 383.5742
81.1583 , 380.6896
75.9810 , 377.2319
71.0392 , 374.9191
65.9795 , 371.4620
60.9197 , 368.0050
55.6247 , 364.5467
50.3297 , 361.0884
45.7404 , 357.0620
40.5630 , 353.6044
36.2095 , 351.2946
30.7961 , 344.9767
28.0891 , 340.9601
25.1472 , 338.0859
22.7935 , 335.2147
20.2044 , 331.7705
17.6148 , 326.6109
15.1429 , 321.4519
12.2003 , 316.2905
10.5519 , 311.1358
9.3747 , 308.2707
7.7261 , 302.5442
6.6664 , 299.1080
5.3705 , 292.2397
4.4286 , 289.3759
3.7217 , 285.3697
3.0146 , 280.7916
2.5425 , 275.0713
1.7173 , 268.7773
1.1271 , 261.3409
0.7723 , 253.9058
0.5349 , 245.8995
0.4150 , 237.3220
0.1774 , 228.7439
0.0573 , 219.0228
-0.0632 , 208.1581
-0.0658 , 198.4376
-0.0682 , 189.2890
-0.0707 , 179.5685
-0.0727 , 172.1352
-0.0744 , 165.2737
-0.0765 , 157.2686
-0.0785 , 149.8353
-0.0806 , 141.8302
-0.0822 , 135.5405
-0.0839 , 129.2508
0.0318 , 121.8181
0.0303 , 116.1002
0.0290 , 110.9540
-0.0903 , 104.6637
-0.0916 , 99.5176
-0.0930 , 94.3714
-0.0945 , 88.6535
-0.0961 , 82.3638
-0.0981 , 74.9305
-0.2178 , 66.9248
-0.2193 , 61.2069
-0.2208 , 55.4889
-0.1048 , 49.1998
-0.1061 , 44.0537
-0.1078 , 37.7640
-0.2268 , 32.6172
-0.1105 , 27.4717
-0.1117 , 22.8974
-0.1132 , 17.1795
