AMC-900,
X,Y
4.4000 , 288.8578
6.6000 , 297.2622
8.8000 , 306.7356
11.0000 , 313.0445
13.2000 , 317.8781
15.4000 , 322.0411
17.6000 , 326.3537
19.8000 , 330.0010
22.0000 , 333.4399
24.2000 , 336.6952
26.4000 , 339.5725
28.6000 , 342.2444
30.8000 , 344.4060
33.0000 , 346.5963
35.2000 , 349.3996
37.4000 , 351.0869
39.6000 , 352.8859
41.8000 , 354.9506
44.0000 , 356.6487
46.2000 , 358.8465
48.4000 , 361.3703
50.6000 , 363.6879
52.8000 , 365.0277
55.0000 , 366.1071
57.2000 , 368.1703
59.4000 , 369.5032
61.6000 , 370.0371
63.8000 , 371.6972
66.0000 , 372.9301
68.2000 , 374.3869
70.4000 , 375.4914
72.6000 , 376.3772
74.8000 , 378.0463
77.0000 , 379.1528
79.2000 , 380.6191
81.4000 , 382.2708
83.6000 , 383.7749
85.8000 , 385.2768
88.0000 , 387.2869
90.2000 , 389.9116
92.4000 , 392.2143
94.6000 , 395.5821
96.8000 , 400.1494
99.0000 , 406.6640
3.4858 , 283.0813
2.5426 , 275.6431
1.7169 , 267.0619
1.0089 , 259.0531
0.6536 , 249.9026
0.4156 , 239.6091
0.2949 , 228.1727
0.1746 , 217.8798
0.2893 , 206.4446
0.2860 , 193.8651
0.1644 , 178.9979
0.1610 , 165.8467
0.0401 , 153.2667
-0.0813 , 138.9712
-0.0857 , 122.3893
-0.2082 , 103.5195
-0.0958 , 83.5074
-0.1000 , 67.4972
-0.2223 , 49.7710
-0.1096 , 30.9025
0.0043 , 16.6083
100.3432 , 412.8096
