C_NaOH_850,
X,Y
0.9927 , 370.0658
0.9876 , 347.0395
0.9643 , 310.8553
0.9481 , 301.8092
0.9290 , 295.2303
0.9098 , 291.1184
0.8896 , 288.6513
0.8714 , 286.1842
0.8492 , 284.5395
0.8078 , 282.0724
0.7594 , 278.7829
0.7089 , 276.3158
0.6585 , 273.0263
0.6090 , 271.3816
0.5586 , 268.9145
0.5091 , 266.4474
0.4597 , 263.9803
0.4102 , 261.5132
0.3598 , 259.0461
0.3123 , 255.7566
0.2649 , 253.2895
0.2164 , 249.1776
0.1619 , 245.0658
0.1095 , 236.0197
0.0620 , 226.1513
0.0115 , 197.3684
0.0064 , 189.1447
0.0034 , 179.2763
0.0024 , 166.1184
0.0023 , 152.9605
0.0023 , 140.6250
0.0033 , 125.8224
