C_NaOH_750,
X,Y
0.0077 , 171.4668
0.0216 , 187.1238
0.0361 , 192.7077
0.0505 , 197.6777
0.0660 , 198.7274
0.0789 , 203.5915
0.0940 , 205.9842
0.1229 , 207.5256
0.1374 , 209.8444
0.1531 , 209.1689
0.1663 , 210.2329
0.1810 , 213.0272
0.1940 , 212.6656
0.2103 , 213.1309
0.2233 , 213.1041
0.2387 , 215.2945
0.2531 , 215.5430
0.2676 , 216.4421
0.2821 , 216.7390
0.2966 , 217.5868
0.3110 , 218.6886
0.3255 , 218.7854
0.3400 , 218.9737
0.3556 , 216.5692
0.3678 , 218.2705
0.3834 , 221.0365
0.3978 , 221.4764
0.4123 , 223.2176
0.4268 , 225.2756
0.4413 , 226.1898
0.4702 , 226.7617
0.4847 , 227.7606
0.4991 , 228.8326
0.5136 , 230.1806
0.5281 , 229.1931
0.5425 , 230.2456
0.5570 , 232.2433
0.5715 , 232.7793
0.5860 , 233.0717
0.6004 , 234.2411
0.6149 , 236.0829
0.6294 , 236.8820
0.6450 , 235.7672
0.6571 , 236.0135
0.6728 , 239.2451
0.6873 , 239.9795
0.7017 , 240.0542
0.7162 , 239.8456
0.7307 , 241.1276
0.7463 , 240.2788
0.7588 , 240.5748
0.7741 , 244.6683
0.7885 , 245.7402
0.8030 , 246.6468
0.8175 , 247.5100
0.8322 , 247.8981
0.8460 , 248.4800
0.8611 , 249.5059
0.8761 , 251.7164
0.8889 , 253.9242
0.9043 , 257.1682
0.9188 , 262.0833
0.9327 , 264.3822
0.9483 , 272.2082
0.9615 , 281.2210
0.9712 , 292.3325
0.9798 , 308.2198
0.9865 , 317.6464
0.9909 , 328.9580
0.9974 , 342.8520
0.9966 , 352.6649
0.4545 , 226.1513
0.1094 , 207.2368
