CNF-1,
X,Y
0.0033 , 25.9695
0.0489 , 36.5599
0.1044 , 41.5500
0.1170 , 42.2695
0.1356 , 44.4009
0.1557 , 45.8325
0.1641 , 44.4408
0.1809 , 45.8679
0.2093 , 47.3113
0.2252 , 46.6318
0.2429 , 48.7619
0.2834 , 50.2224
0.3272 , 53.0909
0.3478 , 51.0144
0.3809 , 53.1661
0.4093 , 53.2060
0.4410 , 56.0575
0.4699 , 55.3964
0.5109 , 60.3662
0.5310 , 58.2891
0.5953 , 61.8882
0.6447 , 64.0628
0.6508 , 61.9660
0.7002 , 66.2459
0.7123 , 64.8594
0.7566 , 67.7286
0.7720 , 66.3467
0.7911 , 67.7770
0.8223 , 69.9261
0.8307 , 69.9379
0.8568 , 73.4833
0.8876 , 74.9300
0.9230 , 79.8920
0.9380 , 78.5094
0.9739 , 89.7879
0.9972 , 108.0662
0.9985 , 135.4365
0.9999 , 162.1052
