1000stC,
X,Y
0.0004 , 57.5445
0.0004 , 117.8953
0.0004 , 175.4391
0.0074 , 225.9752
0.0279 , 260.3900
0.0558 , 283.5871
0.0861 , 303.2787
0.1183 , 323.6748
0.1523 , 339.1611
0.1863 , 355.3492
0.2208 , 370.8362
0.2572 , 384.2206
0.2935 , 396.9032
0.3317 , 408.8867
0.3700 , 418.7649
0.4073 , 429.3435
0.4464 , 437.8195
0.4846 , 444.8907
0.5238 , 453.3667
0.5639 , 461.1423
0.6026 , 469.6177
0.6417 , 478.0937
0.6795 , 486.5677
0.7177 , 495.7442
0.7545 , 505.6204
0.7890 , 517.5986
0.8249 , 533.0876
0.8548 , 548.5681
0.8823 , 571.0628
0.9065 , 595.6582
0.9274 , 625.8631
0.9442 , 661.6761
0.9591 , 697.4865
0.9726 , 738.2072
0.9824 , 781.0279
0.9992 , 816.8409
