850stC,
X,Y
0.0018 , 85.6166
0.0163 , 107.3913
0.0512 , 121.4754
0.0908 , 133.4608
0.1295 , 141.9362
0.1370 , 142.6484
0.1454 , 146.8707
0.1626 , 148.2984
0.1845 , 149.0309
0.2074 , 155.3788
0.2358 , 157.5240
0.2675 , 162.4807
0.2876 , 163.2106
0.3044 , 166.7429
0.3412 , 167.4964
0.3482 , 172.4185
0.3943 , 175.2903
0.4512 , 180.9841
0.5048 , 184.5682
0.5612 , 189.5596
0.6144 , 193.8447
0.6684 , 199.5347
0.7197 , 205.9224
0.7673 , 211.6032
0.8134 , 220.7908
0.8544 , 229.9711
0.8875 , 242.6492
0.9178 , 257.4285
0.9411 , 274.3033
0.9584 , 293.9767
0.9747 , 313.6487
0.9975 , 331.2246
0.9989 , 357.1914
0.9994 , 385.9640
