NFM,
X,Y
0.0084 , 134.9085
0.0253 , 149.6612
0.0558 , 163.5332
0.0837 , 170.5793
0.1079 , 174.9831
0.1353 , 178.5061
0.1611 , 182.0291
0.1875 , 184.6714
0.2117 , 186.8733
0.2375 , 188.4146
0.2623 , 190.3963
0.2876 , 191.9377
0.3102 , 193.0386
0.3597 , 197.0020
0.3850 , 197.8828
0.4124 , 199.4241
0.4382 , 201.1856
0.4614 , 203.1673
0.4883 , 204.4885
0.5120 , 206.0298
0.5373 , 206.2500
0.5636 , 207.5711
0.5879 , 208.8923
0.6105 , 210.6538
0.6368 , 213.0759
0.6632 , 214.6172
0.6858 , 216.3787
0.7117 , 216.3787
0.7375 , 217.9201
0.7633 , 220.7825
0.7859 , 224.0854
0.8112 , 226.5075
0.8360 , 228.0488
0.8613 , 231.3516
0.8865 , 235.5352
0.9087 , 241.7005
0.9329 , 248.5264
0.9487 , 252.9302
0.9619 , 257.7744
0.9724 , 264.1599
0.9824 , 274.7290
