f3,
X,Y
-0.0016 , 144.2369
0.0179 , 179.4739
0.0528 , 189.2883
0.1608 , 201.0144
0.2120 , 204.0857
0.2640 , 207.3494
0.3152 , 210.2282
0.3639 , 212.7222
0.4135 , 214.8310
0.4639 , 217.1321
0.5126 , 219.4336
0.5638 , 221.5421
0.6141 , 223.6506
0.6637 , 226.1445
0.7141 , 228.6383
0.7636 , 231.1322
0.8140 , 234.2036
0.8619 , 237.6607
0.9106 , 242.2731
0.9407 , 246.6964
0.9610 , 250.7365
0.9699 , 253.4308
0.1154 , 197.3643
0.1040 , 196.4036
0.0934 , 195.4428
0.0845 , 194.0965
0.0747 , 193.1355
0.0642 , 191.0193
0.0406 , 186.7872
0.0301 , 183.9007
0.0130 , 176.9714
0.0097 , 172.9280
0.0032 , 166.9595
0.0008 , 160.4125
0.0008 , 152.7096
