f3,
X,Y
-0.0016 , 144.2369
0.0008 , 152.1319
0.0000 , 159.4498
0.0016 , 166.1895
0.0089 , 172.3504
0.0114 , 176.5865
0.0179 , 179.4739
0.0292 , 183.3231
0.0390 , 186.5950
0.0528 , 189.2883
0.0626 , 190.4419
0.0723 , 192.3657
0.0853 , 193.5186
0.0918 , 195.2505
0.1024 , 195.6337
0.1154 , 197.5569
0.1608 , 201.0144
0.2120 , 204.0857
0.2640 , 207.3494
0.3152 , 210.2282
0.3639 , 212.7222
0.4135 , 214.8310
0.4639 , 217.1321
0.5126 , 219.4336
0.5638 , 221.5421
0.6141 , 223.6506
0.6637 , 226.1445
0.7141 , 228.6383
0.7636 , 231.1322
0.8140 , 234.2036
0.8619 , 237.6607
0.9106 , 242.2731
0.9407 , 246.6964
0.9610 , 250.7365
0.9699 , 253.4308
0.9919 , 272.4912
