Conoco_Ag-540min,
X,Y
0.0091 , 377.4958
0.0305 , 441.8912
0.0615 , 496.0516
0.0847 , 531.3040
0.0999 , 552.2496
0.1194 , 578.8146
0.1395 , 603.3339
0.1596 , 628.3645
0.1790 , 651.3507
0.1998 , 673.3131
0.2485 , 721.8318
0.3045 , 769.8318
0.3514 , 801.4812
0.3995 , 825.9719
0.4507 , 840.7457
0.5000 , 849.8978
0.5499 , 855.4704
0.6005 , 859.5087
0.6498 , 862.5257
0.7004 , 864.0078
0.7509 , 865.4899
0.8009 , 867.4838
0.8210 , 867.4632
0.8508 , 868.9665
0.8758 , 869.9634
0.9007 , 870.4492
0.9257 , 870.9349
0.9519 , 871.9306
0.9762 , 873.4394
