Conoco_Ag-240min,
X,Y
0.0091 , 257.3526
0.0298 , 283.4051
0.0597 , 303.3132
0.0792 , 310.4507
0.1017 , 317.5852
0.1230 , 322.1646
0.1419 , 326.2353
0.1650 , 329.7903
0.1845 , 331.8154
0.2016 , 333.3317
0.2491 , 336.8619
0.3033 , 339.8739
0.3538 , 341.3560
0.4001 , 342.3312
0.4507 , 344.3245
0.5000 , 344.7853
0.5499 , 345.2455
0.6005 , 345.1938
0.6498 , 345.6546
0.7004 , 344.5804
0.7503 , 346.5743
0.8002 , 345.5008
0.8197 , 344.9696
0.8502 , 345.4497
0.8873 , 345.9230
0.9032 , 345.3955
0.9257 , 346.3950
0.9488 , 345.8601
0.9762 , 347.3658
