Conoco_pure-360min,
X,Y
0.0089 , 365.6156
0.0299 , 420.8021
0.0590 , 469.7301
0.0782 , 494.1893
0.0980 , 515.5228
0.1203 , 536.8538
0.1413 , 555.0610
0.1624 , 570.1432
0.1847 , 583.6617
0.2089 , 594.5740
0.2548 , 611.1929
0.3180 , 626.2311
0.3782 , 635.0226
0.4079 , 637.5958
0.4483 , 641.1996
0.4991 , 645.3133
0.5487 , 645.7825
0.5990 , 648.3343
0.6486 , 650.3659
0.6989 , 651.3553
0.7485 , 652.8661
0.7981 , 652.8144
0.8186 , 653.3139
0.8484 , 654.3245
0.8738 , 655.3397
0.8986 , 655.3139
0.9228 , 655.2887
0.9495 , 655.2609
0.9762 , 656.2748
0.9910 , 657.8217
