Conoco_Ag-120min,
X,Y
0.0104 , 160.2144
0.0305 , 171.9525
0.0579 , 178.0595
0.0816 , 181.1027
0.1011 , 183.6390
0.1230 , 185.1503
0.1413 , 187.1766
0.1620 , 188.6892
0.1815 , 189.1805
0.2022 , 191.2043
0.2503 , 193.2001
0.3021 , 194.6809
0.3520 , 196.1636
0.4001 , 197.1369
0.4513 , 197.5958
0.5006 , 199.5904
0.5512 , 198.0050
0.5999 , 197.9551
0.6504 , 197.9034
0.7119 , 197.8406
0.7625 , 197.7889
0.8118 , 197.7384
0.8313 , 198.2298
0.8508 , 198.2098
0.8752 , 197.6737
0.8995 , 198.6713
0.9257 , 197.6220
0.9507 , 198.1077
0.9762 , 200.1265
0.9994 , 200.1029
