korean_pure_360_min,
X,Y
0.0102 , 366.7077
0.0427 , 439.6518
0.0574 , 465.1071
0.0770 , 491.5746
0.0991 , 516.2917
0.1257 , 540.2616
0.1591 , 565.7553
0.1873 , 583.8400
0.2252 , 601.1945
0.2567 , 612.9964
0.2839 , 618.9189
0.3254 , 628.7129
0.3642 , 632.6428
0.3841 , 636.7416
0.4256 , 640.1609
0.4626 , 641.3586
0.4821 , 643.2808
0.5258 , 645.6936
0.5746 , 647.9789
0.6259 , 649.5219
0.6758 , 651.5290
0.7119 , 651.5666
0.7328 , 651.9724
0.7720 , 653.0257
0.9239 , 657.7271
0.9569 , 657.9663
0.9887 , 657.4873
0.0257 , 408.3588
0.1479 , 558.4861
0.2114 , 596.0523
0.2425 , 607.5430
0.8874 , 656.1314
0.8377 , 656.0796
0.8116 , 653.9691
0.9098 , 657.1964
